"id","Date","APPLICATION","OFFERED","ANSWERED","AVG ANS DELAY","AVG ANS DELAY SECONDS","MAX ANS DELAY","ABANDONED","DelayCallsProduct"
"2019-10-17-dba_cs_268_5311_gen_inq_script","2019/10/17","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-18-dba_cs_268_5311_gen_inq_script","2019/10/18","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-21-dba_cs_268_5311_gen_inq_script","2019/10/21","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-22-dba_cs_268_5311_gen_inq_script","2019/10/22","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-23-dba_cs_268_5311_gen_inq_script","2019/10/23","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-24-dba_cs_268_5311_gen_inq_script","2019/10/24","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-25-dba_cs_268_5311_gen_inq_script","2019/10/25","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-28-dba_cs_268_5311_gen_inq_script","2019/10/28","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-29-dba_cs_268_5311_gen_inq_script","2019/10/29","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-30-dba_cs_268_5311_gen_inq_script","2019/10/30","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-10-31-dba_cs_268_5311_gen_inq_script","2019/10/31","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-01-dba_cs_268_5311_gen_inq_script","2019/11/01","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-04-dba_cs_268_5311_gen_inq_script","2019/11/04","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
